;any;not any;restricted any;total vars;unknown calls;total calls\\
plfann&0,9882&0,0118&0,0000&170&0,9375&48\\
body_reordering&0,7941&0,2059&0,0000&408&0,2995&187\\
stompl&0,8765&0,1235&0,0000&162&0,5063&79\\
memo&0,9025&0,0975&0,0000&236&0,6341&82\\
kubepl&0,8841&0,1159&0,0000&164&0,2439&41\\
clause_attvars&0,8250&0,1050&0,0700&400&0,5498&271\\
debug_call&0,7904&0,1949&0,0147&272&0,2538&130\\
pha&0,8574&0,1426&0,0000&687&0,5622&185\\
irc_client&0,8093&0,1907&0,0000&367&0,4525&179\\
tidylog&0,9226&0,0774&0,0000&310&0,4211&38\\
cplint_r&0,7674&0,2326&0,0000&172&0,5487&113\\
dict_schema&0,8994&0,0985&0,0021&467&0,1408&142\\
smtlib&0,8867&0,1133&0,0000&300&0,1552&58\\
rdf_matcher&0,6012&0,3905&0,0083&484&0,3870&261\\
vcard&0,9964&0,0036&0,0000&274&0,9839&62\\
dictoo&0,8364&0,1418&0,0218&550&0,4690&258\\
slack_prolog&0,8212&0,1715&0,0073&548&0,4188&382\\
sldnfdraw&0,6279&0,3566&0,0155&516&0,2675&329\\
pcache&0,6914&0,2480&0,0605&512&0,3065&248\\
julian&0,8163&0,1786&0,0051&196&0,4083&120\\
nan_common&0,6788&0,3212&0,0000&548&0,1437&320\\
spuds&0,7500&0,2452&0,0048&208&0,4891&229\\
dia&0,3456&0,6544&0,0000&434&0,0824&340\\
callgraph&0,8824&0,1176&0,0000&391&0,5462&119\\
date_time&0,6859&0,3075&0,0065&917&0,1355&273\\
db_facts&0,7391&0,2536&0,0072&414&0,3060&183\\
options&0,7639&0,2361&0,0000&72&0,2000&25\\
pack_errors&0,8148&0,1818&0,0034&297&0,3084&107\\
mail_standards&0,7041&0,2901&0,0058&1041&0,4154&390\\
gvar_syntax&0,8540&0,1136&0,0324&678&0,4328&335\\
odict&0,8106&0,1553&0,0341&1758&0,1239&702\\
pubmed&0,8129&0,1806&0,0065&310&0,2921&178\\
wgraph&-1,0000&-1,0000&-1,0000&0&&\\
hashtbl&0,7978&0,1995&0,0027&742&0,7731&542\\
prism&0,8299&0,1675&0,0025&394&0,2546&216\\
wsdl&0,8329&0,1637&0,0034&1741&0,4014&573\\
docstore&0,8651&0,1320&0,0029&341&0,4766&214\\
musicbrainz&0,8772&0,1185&0,0043&692&0,3184&179\\
ffimatrix&0,8011&0,1989&0,0000&1614&0,5399&702\\
bibtex&0,7747&0,2253&0,0000&608&0,4916&299\\
prosqlite&0,7558&0,2416&0,0026&389&0,2744&164\\
ldap4pl&0,9516&0,0484&0,0000&661&0,5899&278\\
instant_prolog_docs&0,8088&0,1763&0,0150&936&0,4296&419\\
dcgutils&0,8773&0,1161&0,0066&758&0,4541&185\\
achelois&0,7195&0,2736&0,0070&5732&0,3623&2835\\
list_util&0,7756&0,2079&0,0165&303&0,3600&100\\
indexed_terms&0,7589&0,2318&0,0093&1713&0,4928&970\\
simple_template&0,8070&0,1822&0,0108&1482&0,1933&481\\
