; ;0;;;; ;1;;;; ;6;;;
; ;any;not any;restricted any;total; ;any;not any;restricted any;total; ;any;not any;restricted any;total
sparkle; ;0,94;0,06;0,00;353; ;0,94;0,06;0,00;353; ;0,94;0,06;0,00;353
musicxml; ;0,81;0,19;0,00;259; ;0,77;0,23;0,00;259; ;0,76;0,24;0,00;259
subclause_expansion; ;0,85;0,13;0,02;206; ;0,85;0,13;0,02;206; ;0,85;0,13;0,02;206
pljulia; ;0,95;0,05;0,00;302; ;0,95;0,05;0,00;302; ;0,95;0,05;0,00;302
lib_atts; ;0,86;0,12;0,01;276; ;0,86;0,12;0,01;276; ;0,86;0,12;0,01;276
ct_fft; ;0,59;0,37;0,04;892; ;0,52;0,45;0,04;892; ;0,51;0,46;0,04;892
plcomplex; ;0,59;0,37;0,04;892; ;0,52;0,45;0,04;892; ;0,51;0,46;0,04;892
loop_check; ;0,89;0,09;0,01;151; ;0,89;0,09;0,01;151; ;0,89;0,09;0,01;151
call_cleaup_each; ;0,79;0,21;0,00;38; ;0,79;0,21;0,00;38; ;0,79;0,21;0,00;38
each_call_cleanup; ;0,79;0,21;0,00;38; ;0,79;0,21;0,00;38; ;0,79;0,21;0,00;38
fileutils; ;0,83;0,03;0,14;175; ;0,82;0,02;0,15;175; ;0,82;0,02;0,15;175
plfann; ;0,97;0,03;0,00;75; ;0,97;0,03;0,00;75; ;0,97;0,03;0,00;75
body_reordering; ;0,81;0,19;0,00;380; ;0,78;0,22;0,00;380; ;0,78;0,22;0,00;380
stompl; ;0,88;0,12;0,00;153; ;0,88;0,12;0,00;153; ;0,88;0,12;0,00;153
