; ;0;;;; ;1;;;; ;6;;;
; ;any;not any;restricted any;total; ;any;not any;restricted any;total; ;any;not any;restricted any;total
webconsole; ;0,87;0,10;0,03;79; ;0,86;0,11;0,03;79; ;0,86;0,11;0,03;79
hdt; ;0,87;0,13;0,00;135; ;0,87;0,13;0,00;135; ;0,87;0,13;0,00;135
no_repeats; ;0,79;0,17;0,04;134; ;0,79;0,17;0,04;134; ;0,79;0,17;0,04;134
rtp_qsndqs; ;0,65;0,35;0,00;223; ;0,62;0,38;0,00;223; ;0,61;0,39;0,00;223
simple_web; ;0,82;0,17;0,01;288; ;0,82;0,17;0,01;288; ;0,82;0,17;0,01;288
rdfs2pl; ;0,75;0,24;0,01;311; ;0,72;0,28;0,01;311; ;0,71;0,28;0,01;311
file_scope; ;0,88;0,10;0,02;124; ;0,86;0,11;0,02;124; ;0,86;0,11;0,02;124
atom_feed; ;0,86;0,12;0,02;130; ;0,85;0,14;0,02;130; ;0,85;0,14;0,02;130
swipe; ;1,00;0,00;0,00;181; ;1,00;0,00;0,00;181; ;1,00;0,00;0,00;181
msgpack; ;0,10;0,90;0,00;399; ;0,11;0,89;0,00;399; ;0,11;0,89;0,00;399
fine_upload; ;0,88;0,12;0,00;97; ;0,81;0,19;0,00;97; ;0,81;0,19;0,00;97
pac4pl; ;0,83;0,17;0,00;230; ;0,83;0,17;0,00;230; ;0,83;0,17;0,00;230
dpath; ;0,78;0,21;0,01;426; ;0,77;0,22;0,01;426; ;0,77;0,22;0,01;426
edcg; ;0,70;0,30;0,01;645; ;0,35;0,65;0,01;645; ;0,37;0,63;0,01;645
sweet; ;0,75;0,25;0,00;97; ;0,73;0,27;0,00;97; ;0,73;0,27;0,00;97
arouter; ;0,81;0,19;0,00;175; ;0,78;0,22;0,00;175; ;0,78;0,22;0,00;175
multimodal_dcg; ;0,86;0,13;0,01;321; ;0,86;0,14;0,01;321; ;0,86;0,14;0,01;321
pinyin; ;0,75;0,25;0,00;232; ;0,34;0,66;0,00;232; ;0,36;0,64;0,00;232
httplog; ;0,23;0,77;0,00;212; ;0,24;0,76;0,00;212; ;0,25;0,75;0,00;212
mqtt; ;0,96;0,04;0,00;54; ;0,93;0,07;0,00;54; ;0,91;0,09;0,00;54
wordnet; ;0,87;0,13;0,00;158; ;0,87;0,13;0,00;158; ;0,87;0,13;0,00;158
googleclient; ;0,86;0,14;0,00;276; ;0,84;0,16;0,00;276; ;0,84;0,16;0,00;276
evil; ;0,78;0,22;0,00;74; ;0,74;0,26;0,00;74; ;0,74;0,26;0,00;74
mathml; ;0,19;0,78;0,03;451; ;0,20;0,78;0,03;451; ;0,20;0,78;0,03;451
rocksdb; ;0,80;0,20;0,00;85; ;0,80;0,20;0,00;85; ;0,80;0,20;0,00;85
smtp; ;0,14;0,85;0,00;240; ;0,17;0,82;0,00;240; ;0,17;0,82;0,00;240
bddem; ;0,24;0,76;0,00;212; ;0,29;0,71;0,00;212; ;0,30;0,70;0,00;212
sparkle; ;0,94;0,06;0,00;375; ;0,94;0,06;0,00;375; ;0,94;0,06;0,00;375
musicxml; ;0,81;0,19;0,00;278; ;0,77;0,23;0,00;278; ;0,77;0,23;0,00;278
subclause_expansion; ;0,86;0,12;0,02;218; ;0,86;0,12;0,02;218; ;0,86;0,12;0,02;218
pljulia; ;0,95;0,05;0,00;309; ;0,95;0,05;0,00;309; ;0,95;0,05;0,00;309
lib_atts; ;0,87;0,12;0,01;287; ;0,87;0,12;0,01;287; ;0,87;0,12;0,01;287
ct_fft; ;0,59;0,37;0,04;911; ;0,52;0,44;0,04;911; ;0,51;0,45;0,04;911
plcomplex; ;0,59;0,37;0,04;911; ;0,52;0,44;0,04;911; ;0,51;0,45;0,04;911
loop_check; ;0,90;0,09;0,01;153; ;0,90;0,09;0,01;153; ;0,90;0,09;0,01;153
call_cleaup_each; ;0,81;0,19;0,00;42; ;0,81;0,19;0,00;42; ;0,81;0,19;0,00;42
each_call_cleanup; ;0,81;0,19;0,00;42; ;0,81;0,19;0,00;42; ;0,81;0,19;0,00;42
fileutils; ;0,83;0,03;0,14;179; ;0,83;0,02;0,15;179; ;0,83;0,02;0,15;179
plfann; ;0,99;0,01;0,00;170; ;0,99;0,01;0,00;170; ;0,99;0,01;0,00;170
body_reordering; ;0,82;0,18;0,00;408; ;0,79;0,21;0,00;408; ;0,79;0,21;0,00;408
stompl; ;0,88;0,12;0,00;162; ;0,88;0,12;0,00;162; ;0,88;0,12;0,00;162
