;any;not any;restricted any;total vars;unknown calls;total calls\\
xsd&0,7234&0,2598&0,0168&535&0,3333&366\\
phil&0,5718&0,4213&0,0069&1887&0,1446&657\\
lib&0,7706&0,2193&0,0101&1587&0,3742&986\\
mlu&-1,0000&-1,0000&-1,0000&0&&\\
roman&1,0000&0,0000&0,0000&6&1,0000&1\\
pub_graph&0,7295&0,2694&0,0010&965&0,3319&464\\
real&0,6604&0,3375&0,0021&477&0,3726&416\\
xlisting&0,7620&0,2017&0,0363&1294&0,4814&835\\
rtrace&0,7620&0,2017&0,0363&1294&0,4814&835\\
plml&0,9075&0,0910&0,0015&1319&0,5311&354\\
ccprism&0,8362&0,1608&0,0030&3975&0,5741&1411
